2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:57 | Opening CSV: C:\Users\sunha\AppData\Local\Temp\tmp1wxqsxp7\test.csv
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:76 | CSV columns (2): ['x', 'y']
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:94 | CSV read complete: 10 records
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:57 | Opening CSV: C:\Users\sunha\AppData\Local\Temp\tmp130eusv8\test.csv
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:76 | CSV columns (3): ['a', 'b', 'c']
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:94 | CSV read complete: 0 records
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:57 | Opening CSV: C:\Users\sunha\AppData\Local\Temp\tmph35npvvj\test.csv
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | WARNING  | iter_csv_batches:69 | Column 'nonexistent' not found in CSV header
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | WARNING  | iter_csv_batches:72 | Missing columns: {'nonexistent'}
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:76 | CSV columns (1): ['a']
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:94 | CSV read complete: 1 records
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:57 | Opening CSV: C:\Users\sunha\AppData\Local\Temp\tmp_ckpl0x7\test.csv
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:76 | CSV columns (2): ['enid', 'exid']
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:94 | CSV read complete: 1 records
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:57 | Opening CSV: C:\Users\sunha\AppData\Local\Temp\tmpz4th2qc8\test.csv
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:76 | CSV columns (1): ['x']
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:94 | CSV read complete: 3 records
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:57 | Opening CSV: C:\Users\sunha\AppData\Local\Temp\tmppdqq2rtj\test.csv
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:76 | CSV columns (2): ['name', 'value']
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | iter_csv_batches:94 | CSV read complete: 2 records
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:109 | Counting lines in C:\Users\sunha\AppData\Local\Temp\tmp4h7sv0pn\count_test.csv...
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:116 | Total records: 3
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:109 | Counting lines in C:\Users\sunha\AppData\Local\Temp\tmphtkjb_if\count_test.csv...
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:116 | Total records: 0
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:109 | Counting lines in C:\Users\sunha\AppData\Local\Temp\tmpk3vezzzd\count_test.csv...
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:116 | Total records: 1
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:109 | Counting lines in C:\Users\sunha\AppData\Local\Temp\tmpwr98dah0\count_test.csv...
2026-04-27 10:35:27 | src.modules.m2_od_flow.csv_reader | INFO     | count_csv_lines:116 | Total records: 100
