"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561001001610","1","芝川站-芝川",,,"G000561001000510","1","芝川匝道-合阳东枢纽",,,"0"
"6120231210001","G000561001001620","1","芝川-芝川站",,,"G0005610010040","3","陕西芝川收费站",,"61012862","0"
"6120231210001","G000561001001710","1","合阳站-合阳",,,"G000561001002320","1","合阳匝道-合阳东枢纽",,,"0"
"6120231210001","G000561001001710","1","合阳站-合阳",,,"G000561001000610","1","合阳匝道-韦庄匝道",,,"0"
"6120231210001","G000561001001720","1","合阳-合阳站",,,"G0005610010050","3","陕西合阳收费站",,"61012861","0"
"6120231210001","G000561001001810","1","韦庄站-韦庄",,,"G000561001000620","1","韦庄匝道-合阳匝道",,,"0"
"6120231210001","G008561001000120","2","火烧寨-陕西陇关省界",,,"G008562001000620","2","陕甘华亭南",,,"7475"
"6120231210001","G0005610040060","3","陕西大河坝收费站",,"61012D62","G000561004001210","1","大河坝站-大河坝",,,"0"
"6120231210001","G0005610040070","3","陕西金水收费站",,"61012D61","G000561004001310","1","金水站-金水",,,"0"
"6120231210001","G000561005000110","1","金水匝道-龙亭匝道",,,"G000561005000210","1","龙亭匝道-洋县匝道",,,"19941"
"6120231210001","G000561005000110","1","金水匝道-龙亭匝道",,,"G000561005001020","1","龙亭-龙亭站",,,"19941"
"6120231210001","G000561005000120","1","龙亭匝道-金水匝道",,,"G000561004001320","1","金水-金水站",,,"19941"
"6120231210001","G000561005000120","1","龙亭匝道-金水匝道",,,"G000561004000720","1","金水匝道-大河坝匝道",,,"19941"
"6120231210001","G000561005000210","1","龙亭匝道-洋县匝道",,,"G000561005000310","1","洋县匝道-城固匝道",,,"11702"
"6120231210001","G000561005000210","1","龙亭匝道-洋县匝道",,,"G000561005001120","1","洋县-洋县站",,,"11702"
"6120231210001","G000561005000220","1","洋县匝道-龙亭匝道",,,"G000561005000120","1","龙亭匝道-金水匝道",,,"11702"
"6120231210001","G000561005000220","1","洋县匝道-龙亭匝道",,,"G000561005001020","1","龙亭-龙亭站",,,"11702"
"6120231210001","G000561005000310","1","洋县匝道-城固匝道",,,"G000561005000410","1","城固匝道-上元观匝道",,,"17335"
"6120231210001","G000561005000310","1","洋县匝道-城固匝道",,,"G000561005001220","1","城固-城固站",,,"17335"
"6120231210001","G000561005000320","1","城固匝道-洋县匝道",,,"G000561005000220","1","洋县匝道-龙亭匝道",,,"17335"
"6120231210001","G000561005000320","1","城固匝道-洋县匝道",,,"G000561005001120","1","洋县-洋县站",,,"17335"
"6120231210001","G000561005000410","1","城固匝道-上元观匝道",,,"G000561005000510","1","上元观匝道-谢家营立交",,,"13138"
